pitch,roll,label
17,44,2
17,44,2
17,44,2
17,44,2
17,44,2
17,44,2
16,45,2
16,45,2
15,45,2
15,46,2
15,47,2
15,47,2
15,47,2
15,48,2
16,48,2
17,47,2
18,46,2
19,45,2
20,45,2
20,45,2
20,44,2
20,43,2
20,43,2
20,42,2
20,41,2
20,40,2
19,40,2
19,40,2
19,39,2
18,40,2
18,41,2
17,41,2
17,42,2
17,43,2
17,44,2
18,46,2
18,47,2
18,49,2
18,50,2
19,51,2
19,52,2
19,52,2
19,52,2
18,51,2
18,51,2
17,49,2
16,46,2
16,44,2
16,43,2
16,43,2
16,42,2
16,42,2
16,41,2
15,40,2
15,40,2
15,40,2
15,40,2
15,40,2
15,40,2
15,41,2
15,42,2
15,43,2
15,44,2
16,45,2
16,46,2
17,47,2
18,48,2
18,49,2
18,49,2
18,49,2
18,49,2
19,48,2
19,48,2
20,47,2
19,47,2
19,47,2
18,46,2
18,46,2
17,45,2
16,44,2
16,44,2
15,43,2
15,43,2
14,43,2
13,43,2
13,43,2
12,44,2
11,45,2
12,46,2
12,46,2
12,46,2
12,47,2
13,48,2
14,49,2
14,50,2
15,50,2
16,50,2
17,50,2
18,49,2
18,49,2
19,48,2
19,48,2
19,47,2
19,46,2
19,45,2
18,44,2
18,43,2
18,43,2
18,42,2
18,41,2
18,40,2
17,40,2
17,39,2
16,39,2
16,39,2
16,40,2
16,41,2
15,42,2
15,42,2
16,43,2
16,44,2
16,45,2
17,46,2
17,47,2
18,48,2
18,49,2
18,49,2
18,49,2
19,49,2
19,48,2
19,48,2
19,47,2
18,47,2
18,46,2
18,45,2
17,45,2
17,44,2
17,44,2
16,43,2
16,43,2
16,42,2
16,42,2
16,43,2
16,43,2
16,43,2
17,44,2
17,44,2
17,45,2
18,46,2
19,47,2
19,48,2
20,49,2
21,50,2
22,50,2
22,51,2
23,51,2
23,51,2
23,51,2
23,50,2
23,50,2
23,48,2
23,47,2
22,46,2
22,45,2
22,45,2
21,44,2
21,44,2
21,43,2
20,42,2
20,41,2
20,40,2
20,40,2
20,39,2
21,39,2
21,39,2
21,39,2
21,39,2
21,40,2
21,41,2
22,42,2
22,43,2
23,44,2
24,45,2
24,46,2
24,48,2
24,49,2
25,51,2
25,52,2
25,53,2
26,54,2
26,54,2
25,54,2
24,54,2
24,53,2
23,53,2
21,52,2
20,51,2
18,48,2
16,45,2
15,41,2
15,37,2
15,35,2
15,33,2
15,32,2
15,31,2
16,30,2
16,30,2
17,31,2
17,32,2
17,34,2
18,35,2
18,37,2
18,38,2
18,40,2
18,41,2
18,42,2
19,43,2
19,44,2
18,46,2
18,47,2
18,48,2
18,49,2
17,49,2
17,50,2
17,50,2
16,49,2
15,48,2
14,46,2
13,43,2
12,40,2
11,38,2
10,37,2
9,36,2
9,36,2
9,36,2
10,36,2
11,35,2
12,36,2
13,36,2
15,37,2
16,37,2
17,38,2
18,39,2
19,40,2
20,41,2
22,42,2
22,43,2
22,44,2
22,46,2
22,47,2
22,48,2
22,48,2
22,49,2
21,49,2
20,49,2
20,49,2
19,48,2
19,47,2
18,46,2
16,44,2
15,41,2
14,38,2
12,35,2
11,33,2
10,32,2
10,32,2
10,32,2
12,32,2
14,33,2
15,34,2
16,35,2
16,36,2
17,38,2
18,39,2
19,41,2
20,43,2
21,44,2
21,46,2
21,47,2
22,48,2
22,48,2
23,48,2
22,48,2
22,48,2
22,47,2
22,47,2
22,47,2
23,47,2
23,49,2
24,51,2
59,-6,3
